Address ,List_Price ,latitude,longitude
"1909 Courtland Ave Park Ridge, IL 60068","$465,000 ",41.986952,-87.831233
"1620 Walnut St Park Ridge, IL 60068","$465,000 ",42.030167,-87.848053
"10361 Dearlove Rd Apt 2G Glenview, IL 60025","$465,000 ",42.069189,-87.858397
"680 N Lake Shore Dr Apt 417 Chicago, IL 60611","$317,500 ",41.894655,-87.616704
"4259 N Monticello Ave Chicago, IL 60618","$187,500 ",41.959107,-87.718845
"520 W Huron St Apt 513 Chicago, IL 60654","$145,000 ",41.89509,-87.642251
"10826 Berkshire St Westchester, IL 60154","$1,300,000 ",41.846391,-87.89308
"5735 S Dorchester Ave Chicago, IL 60637","$1,300,000 ",41.790418,-87.591179
"2504 Camberley Cir # 2-811 Westchester, IL 60154","$215,000 ",,
"5 School House Ct Park Forest, IL 60466","$173,000 ",41.485099,-87.683447
"1510 Bonnie Brae Pl River Forest, IL 60305","$210,000 ",41.907443,-87.807812
"7643 W Sunset Dr Elmwood Park, IL 60707","$265,000 ",41.927912,-87.818882
"215 River Front Dr Mount Prospect, IL 60056","$300,000 ",42.077433,-87.89408
"2932 225th St Sauk Village, IL 60411","$200,000 ",41.48127,-87.54956
"15724 Old Orchard Ct Unit 1E Orland Park, IL 60462","$200,000 ",41.604117,-87.820975
"3311 S 58th Ave Cicero, IL 60804","$290,000 ",41.83161,-87.767934
"7206 Bradford Ct # 140 Justice, IL 60458","$106,000 ",,
"13005 Ridgewood Dr Palos Park, IL 60464","$220,000 ",41.653316,-87.874868
"2723 W Wellington Ave # 2 Chicago, IL 60618","$376,000 ",,
"2019 W Pensacola Ave Chicago, IL 60618","$230,000 ",41.960265,-87.679753
"3637 N Damen Ave # 1 Chicago, IL 60618","$250,000 ",,
"235 Trenton Ct Schaumburg, IL 60193","$91,500 ",42.022638,-88.061954
"1412 W Plymouth Dr Arlington Heights, IL 60004","$1,525,000 ",42.117209,-88.000371
"5930 N Nagle Ave Chicago, IL 60646","$252,000 ",41.989365,-87.78792
"305 Hickory Ct Northbrook, IL 60062","$265,000 ",42.14705,-87.821219
"11400 S Forest Ave Chicago, IL 60628","$152,000 ",41.687164,-87.615993
"106 Cambridge Ave Streamwood, IL 60107","$397,500 ",42.010057,-88.180269
"4401 W 81st St Chicago, IL 60652","$245,000 ",41.745444,-87.731731
"8453 N Ottawa Ave Niles, IL 60714","$86,000 ",42.034811,-87.817005
"12509 S Bishop St Calumet Park, IL 60827","$779,000 ",41.666263,-87.657012
"Homewood, IL 60430","$205,000 ",,
"10815 Christopher Dr Lemont, IL 60439","$450,000 ",41.690435,-88.009939
"6051 N Olympia Ave Chicago, IL 60631","$340,000 ",41.99029,-87.817471
"34 Apache St Park Forest, IL 60466","$72,000 ",41.494196,-87.656395
"4732 W Jackson Blvd Chicago, IL 60644","$765,000 ",41.877199,-87.744071
"234 N Wilke Rd Palatine, IL 60074","$803,500 ",42.114765,-88.004949
"6848 S Peoria St # 1 Chicago, IL 60621","$540,000 ",,
"6732 S Honore St Chicago, IL 60636","$310,000 ",41.771122,-87.67041
"2224 Westover Ave North Riverside, IL 60546","$169,000 ",41.849383,-87.818627
"3737 East Ave Berwyn, IL 60402","$425,000 ",41.823717,-87.787258
"6723 Riverside Dr Berwyn, IL 60402","$348,500 ",41.84999,-87.792072
"1336 W Hampton Pl Palatine, IL 60067","$370,000 ",42.1084,-88.077457
"18855 Burnham Ave Apt 231 Lansing, IL 60438","$30,000 ",41.552215,-87.538907
"619 N Wille St Mount Prospect, IL 60056","$311,000 ",42.078654,-87.937661
"1402 W Flournoy St Apt 3 Chicago, IL 60607","$350,000 ",41.873555,-87.662067
"9006 S Oglesby Ave Chicago, IL 60617","$22,000 ",41.731399,-87.567413
"4432 S King Dr Chicago, IL 60653","$680,000 ",41.813811,-87.61735
"8800 167th St Orland Hills, IL 60487","$152,500 ",41.587322,-87.833029
"4032 W 109th St Oak Lawn, IL 60453","$30,000 ",41.69618,-87.722331
"Markham, IL 60428","$110,000 ",,
"1122 W Catalpa Ave Apt 909 Chicago, IL 60640","$132,500 ",41.982444,-87.659097
"704 S Madison Ave La Grange, IL 60525","$300,000 ",41.801091,-87.870957
"534 N Home Ave Park Ridge, IL 60068","$45,000 ",42.017417,-87.849562
"1819 Laurel Ave Evanston, IL 60201","$447,500 ",42.0508,-87.704473
"11610 S Joalyce Dr Alsip, IL 60803","$935,000 ",41.681549,-87.736498
"1226 S 19th Ave Maywood, IL 60153","$15,000 ",41.875832,-87.856315
"1753 N Troy St Chicago, IL 60647","$275,000 ",41.913506,-87.705433
"14880 Harbor Dr Oak Forest, IL 60452","$61,000 ",41.620616,-87.772994
"15437 S 73rd Ave Orland Park, IL 60462","$110,000 ",41.610893,-87.796004
"420 N Derbyshire Ave Arlington Heights, IL 60004","$205,000 ",42.087238,-87.968759
"1917 W Potomac Ave # 2 Chicago, IL 60622","$285,500 ",,
"600 N Lake Shore Dr Apt 1002 Chicago, IL 60611","$378,000 ",41.893069,-87.615103
"718 E Pershing Rd Chicago, IL 60653","$336,100 ",41.823661,-87.609381
"10812 McVicker Ave Chicago Ridge, IL 60415","$827,000 ",41.69543,-87.770806
"4039 Prairie Ave Schiller Park, IL 60176","$827,000 ",41.952403,-87.867069
"299 Fern Dr Elk Grove Village, IL 60007","$827,000 ",41.99812,-87.988983
"3822 S Central Ave Cicero, IL 60804","$257,500 ",41.822707,-87.763485
"10121 Hartford Ct Apt 1A Schiller Park, IL 60176","$300,000 ",41.949542,-87.879253
"8432 S Mackinaw Ave # 2F Chicago, IL 60617","$55,000 ",,
"8517 Rockefeller Ave Brookfield, IL 60513","$118,000 ",41.829401,-87.835519
"2314 Sherman Ave Unit 1E Evanston, IL 60201","$47,500 ",42.059916,-87.682063
"411 N Leclaire Ave Chicago, IL 60644","$103,500 ",41.888243,-87.752555
"8843 S State St Chicago, IL 60619","$90,000 ",41.73324,-87.623722
"2024 N Racine Ave Apt F Chicago, IL 60614","$154,000 ",41.918659,-87.65859
"1856 N Sawyer Ave Apt 201 Chicago, IL 60647","$765,000 ",41.915393,-87.709063
"681 Prestwick Ln Wheeling, IL 60090","$327,000 ",42.128254,-87.901705
