Month,CountyFIPS,CountyName,Property Type,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
201808,36069,"Ontario, NY",Condo/Townhome/Row Home/Co-Op,532,,299842.500000,-0.0004,0.0531,88.5,-0.0056,0.7879,86.50,0.1382,0.2815,16.0,0.0000,-0.1111,0.0,,,8.0,-0.5000,3.0000,0.0,,,326747.0000,-0.0154,0.0819,88.5,-0.0056,0.7879,0.0000,0.0000,0.0000
201808,51177,"Spotsylvania, VA",Condo/Townhome/Row Home/Co-Op,533,,233725.000000,-0.0652,-0.0056,50.0,0.0204,-0.0991,32.25,-0.1731,0.0932,32.0,0.6000,0.0000,0.0,,-1.0000,12.0,-0.2500,0.0000,0.0,,,241351.0000,-0.0271,0.0172,50.0,0.0204,-0.0991,0.0000,0.0000,0.0000
201808,23001,"Androscoggin, ME",Condo/Townhome/Row Home/Co-Op,534,,140050.000000,-0.1759,-0.0502,8.5,-0.0556,-0.3200,82.00,0.5046,-0.3360,2.0,,0.0000,0.0,,,0.0,-1.0000,,1.0,-0.5000,-0.5000,195706.0000,0.0297,0.1079,9.5,-0.1364,-0.3448,0.1176,-0.1046,-0.0424
201808,54061,"Monongalia, WV",Condo/Townhome/Row Home/Co-Op,535,,189409.750000,-0.0028,0.0162,164.0,0.0123,-0.0465,88.25,0.2089,0.2048,20.0,-0.2857,-0.4737,0.0,,,44.0,0.8333,0.8333,13.5,-0.2059,0.5000,196467.0000,-0.0171,-0.0545,177.5,-0.0084,-0.0193,0.0823,-0.0226,0.0300
201808,26017,"Bay, MI",Condo/Townhome/Row Home/Co-Op,536,,198225.000000,-0.0086,0.1168,39.5,-0.0814,0.1127,107.50,0.4145,0.9369,8.0,0.0000,-0.4286,0.0,,,4.0,0.0000,-0.3333,10.0,-0.2857,0.8182,276727.0000,0.0430,0.2847,49.5,-0.1316,0.2073,0.2532,-0.0724,0.0982
201808,17099,"La Salle, IL",Condo/Townhome/Row Home/Co-Op,537,,135050.000000,-0.0305,0.0953,40.5,0.0658,0.6531,99.50,0.0815,0.3179,8.0,1.0000,3.0000,0.0,,,8.0,0.0000,3.0000,2.5,0.2500,4.0000,187351.0000,-0.0103,0.2148,43.0,0.0750,0.7200,0.0617,0.0091,0.0413
201808,26005,"Allegan, MI",Condo/Townhome/Row Home/Co-Op,538,,249800.000000,-0.0187,-0.1237,55.0,0.0000,0.4103,101.00,0.1744,-0.2016,12.0,2.0000,5.0000,2.0,,,2.0,-0.5000,-0.8333,0.0,,,280570.0000,-0.0310,-0.2229,55.0,0.0000,0.4103,0.0000,0.0000,0.0000
201808,09015,"Windham, CT",Condo/Townhome/Row Home/Co-Op,539,,214000.000000,-0.0231,0.0571,79.0,-0.0595,0.0064,75.50,0.2583,0.3074,14.0,0.1667,-0.3636,2.0,,,2.0,-0.7500,-0.8333,1.0,0.0000,,210694.0000,-0.0111,0.0741,80.0,-0.0588,0.0191,0.0127,0.0008,0.0127
201808,51770,"Roanoke city, VA",Condo/Townhome/Row Home/Co-Op,540,,222500.000000,-0.0112,-0.0532,26.0,-0.0370,0.0196,80.25,0.2346,-0.3966,8.0,1.0000,3.0000,0.0,,,4.0,-0.5000,0.0000,0.0,,,268207.0000,0.0167,-0.1776,26.0,-0.0370,0.0196,0.0000,0.0000,0.0000
201808,39169,"Wayne, OH",Condo/Townhome/Row Home/Co-Op,541,,167775.000000,-0.0102,0.2031,24.0,0.0909,0.2973,69.00,-0.2500,0.6829,16.0,3.0000,0.3333,0.0,,,2.0,-0.5000,0.0000,3.5,-0.1250,-0.1250,168707.0000,-0.0227,0.1929,27.5,0.0577,0.2222,0.1458,-0.0360,-0.0704
