Address,list_price,beds,baths,sq_ft,latitude,longitude
"1530 W Cortez St Apt 1 Chicago, IL 60642",522000.0,3.0,3.0,2600.0,41.90089469999999,-87.6661912
"1022 N Wood St # 1 Chicago, IL 60622",623000.0,3.0,2.5,2600.0,41.9003573,-87.6725708
"1412 W Cuyler Ave Apt 1W Chicago, IL 60613",602500.0,3.0,2.5,2600.0,41.9555052,-87.66487509999999
"2800 N Talman Ave # D5 Chicago, IL 60618",390000.0,2.0,2.5,2600.0,41.9329811,-87.6947395
"1532 W Fry St Chicago, IL 60642",430000.0,3.0,3.0,2550.0,41.8970608,-87.66624279999999
"1509 N Hudson Ave Chicago, IL 60610",650000.0,3.0,3.0,2500.0,41.90957100000001,-87.63937899999999
"3520 N Reta Ave Apt 1S Chicago, IL 60657",759000.0,4.0,2.5,2500.0,41.946168,-87.65099699999999
"1827 W Iowa St # 1 Chicago, IL 60622",580000.0,3.0,2.5,2500.0,41.8975735,-87.67338889999999
"1738 N Mohawk St # 3 Chicago, IL 60614",975000.0,3.0,2.5,2500.0,41.9139746,-87.6426431
"452 W Roslyn Pl # 1E Chicago, IL 60614",475000.0,3.0,2.5,2500.0,41.9276531,-87.6409695
"4040 N Kenmore Ave Apt 1S Chicago, IL 60613",445500.0,3.0,2.0,2500.0,41.9557218,-87.65647530000001
"1641 N Claremont Ave Chicago, IL 60647",1307500.0,3.0,3.5,2499.0,41.9115423,-87.6858292
"1031 W Monroe St Unit 1 Chicago, IL 60607",928500.0,3.0,3.0,2425.0,41.8800985,-87.6532245
"1505 N Mohawk St # 1W Chicago, IL 60610",760000.0,4.0,3.0,2400.0,41.90935400000001,-87.641809
"1367 W Crystal St # 1 Chicago, IL 60642",520000.0,4.0,3.0,2400.0,41.8941546,-87.6598128
"873 N Hermitage Ave # 1 Chicago, IL 60622",532000.0,3.0,3.0,2400.0,41.8980691,-87.67069839999999
"1945 W Erie St # 1W Chicago, IL 60622",453000.0,3.0,2.5,2400.0,41.892921,-87.67622899999999
"2616 N Orchard St Apt 4 Chicago, IL 60614",516000.0,3.0,2.5,2400.0,41.9296373,-87.6468415
