,latitude,longitude,Address,List_Price,beds,baths,sq_ft
129,41.907443,-87.807812,"1510 Bonnie Brae Pl River Forest, IL 60305","$619,000 ",4.0,2.0,"1,566"
130,41.927912,-87.81888199999999,"7643 W Sunset Dr Elmwood Park, IL 60707","$349,000 ",4.0,2.0,"1,788"
131,41.48127,-87.54956,"2932 225th St Sauk Village, IL 60411","$29,900 ",4.0,2.0,770
132,41.604116999999995,-87.820975,"15724 Old Orchard Ct Unit 1E Orland Park, IL 60462","$154,900 ",2.0,2.0,2
133,41.83161,-87.767934,"3311 S 58th Ave Cicero, IL 60804","$214,900 ",2.0,1.5,"1,449"
134,,,"7206 Bradford Ct # 140 Justice, IL 60458","$189,000 ",2.0,2.5,"1,500"
135,41.653316,-87.874868,"13005 Ridgewood Dr Palos Park, IL 60464","$449,000 ",3.0,2.5,"2,850"
136,,,"2723 W Wellington Ave # 2 Chicago, IL 60618","$239,000 ",2.0,1.0,"1,000"
137,41.960265,-87.679753,"2019 W Pensacola Ave Chicago, IL 60618","$595,000 ",4.0,,
138,,,"3637 N Damen Ave # 1 Chicago, IL 60618","$195,000 ",1.0,1.0,1
139,42.022638,-88.061954,"235 Trenton Ct Schaumburg, IL 60193","$389,900 ",3.0,2.0,"1,658"
140,42.117209,-88.000371,"1412 W Plymouth Dr Arlington Heights, IL 60004","$437,000 ",4.0,2.5,"2,486"
141,41.989365,-87.78792,"5930 N Nagle Ave Chicago, IL 60646","$339,999 ",4.0,2.5,"2,244"
142,42.14705,-87.821219,"305 Hickory Ct Northbrook, IL 60062","$399,999 ",4.0,2.5,2.5
143,41.687164,-87.615993,"11400 S Forest Ave Chicago, IL 60628","$125,000 ",9.0,,
144,42.010057,-88.180269,"106 Cambridge Ave Streamwood, IL 60107","$215,000 ",3.0,2.5,"1,537"
145,41.745444,-87.73173100000001,"4401 W 81st St Chicago, IL 60652","$239,900 ",4.0,2.0,"1,010"
146,41.666263,-87.657012,"12509 S Bishop St Calumet Park, IL 60827","$99,999 ",3.0,1.0,"1,087"
147,,,"Homewood, IL 60430","$144,900 ",3.0,1.5,"1,359"
148,,,"Homewood, IL 60430","$132,900 ",3.0,2.0,"1,200"
149,,,"Homewood, IL 60430","$239,900 ",4.0,2.0,"1,631"
150,,,"Homewood, IL 60430","$144,900 ",3.0,1.5,"1,359"
151,,,"Homewood, IL 60430","$132,900 ",3.0,2.0,"1,200"
152,,,"Homewood, IL 60430","$239,900 ",4.0,2.0,"1,631"
153,,,"Homewood, IL 60430","$144,900 ",3.0,1.5,"1,359"
154,,,"Homewood, IL 60430","$132,900 ",3.0,2.0,"1,200"
155,,,"Homewood, IL 60430","$239,900 ",4.0,2.0,"1,631"
156,41.690435,-88.009939,"10815 Christopher Dr Lemont, IL 60439","$495,000 ",4.0,2.5,"3,014"
157,41.99029,-87.817471,"6051 N Olympia Ave Chicago, IL 60631","$399,900 ",3.0,1.5,"1,370"
158,41.494196,-87.65639499999999,"34 Apache St Park Forest, IL 60466","$39,900 ",4.0,2.0,"1,120"
159,41.877199,-87.74407099999999,"4732 W Jackson Blvd Chicago, IL 60644","$299,999 ",6.0,,
160,42.114765000000006,-88.004949,"234 N Wilke Rd Palatine, IL 60074","$299,900 ",3.0,1.5,"1,248"
161,,,"6848 S Peoria St # 1 Chicago, IL 60621","$95,500 ",4.0,,
