,List_Price ,List_Price .1,beds,baths,sq_ft
121,"5827 Franklin Ct Hanover Park, IL 60133",240000.0,4.0,2.5,2212.0
122,"4448 N Dover St # 1 Chicago, IL 60640",428000.0,3.0,3.0,2200.0
123,"1641 N Dayton St # 1 Chicago, IL 60614",695000.0,3.0,3.0,2200.0
124,"4147 S Ellis Ave # 2N Chicago, IL 60653",242500.0,3.0,2.5,2200.0
125,"5832 Lincoln Ave Unit A Morton Grove, IL 60053",315000.0,3.0,2.5,2200.0
126,"2537 N Greenview Ave Chicago, IL 60614",483000.0,3.0,2.5,2200.0
127,"1410 W Argyle St # P-5 Chicago, IL 60640",425000.0,3.0,2.5,2200.0
128,"875 N Milwaukee Ave # 2-3E Chicago, IL 60642",575000.0,3.0,2.5,2200.0
129,"1300 N Lake Shore Dr Apt 19A Chicago, IL 60610",1455000.0,3.0,2.5,2200.0
130,"2728 N Racine Ave # 1 Chicago, IL 60614",602000.0,3.0,2.5,2200.0
131,"1235 W George St Apt 112 Chicago, IL 60657",630000.0,3.0,2.5,2200.0
132,"712 W Waveland Ave Apt 1D Chicago, IL 60613",424500.0,4.0,2.0,2200.0
133,"613 N Paulina St # 3 Chicago, IL 60622",586500.0,3.0,2.0,2200.0
134,"418 Church St Evanston, IL 60201",548000.0,3.0,2.0,2200.0
135,"1022 S Racine Ave Apt 301 Chicago, IL 60607",529000.0,3.0,2.0,2191.0
136,"1212 N Lake Shore Dr Apt 33AS Chicago, IL 60610",1300000.0,3.0,2.5,2150.0
137,"4209 S Michigan Ave Apt 1N Chicago, IL 60653",1935000.0,2.0,2.5,2146.0
138,"17922 Alabama Ct Orland Park, IL 60467",245000.0,2.0,2.5,2117.0
139,"2850 N Damen Ave # 3 Chicago, IL 60618",470000.0,3.0,3.0,2100.0
140,"1110 N Lake Shore Dr Apt 7S Chicago, IL 60611",860000.0,3.0,2.5,2100.0
141,"1120 Driftwood Ct Flossmoor, IL 60422",177000.0,3.0,2.5,2100.0
142,"6426 S Kenwood Ave Apt 1S Chicago, IL 60637",160000.0,3.0,2.5,2100.0
143,"1640 W Beach Ave Apt 1E Chicago, IL 60622",585000.0,3.0,2.5,2100.0
144,"130 E Oak St Apt 13B Chicago, IL 60611",722500.0,2.0,2.5,2100.0
145,"7362 N Damen Ave Apt 3N Chicago, IL 60645",245000.0,3.0,2.0,2100.0
146,"3241 N Racine Ave # 3 Chicago, IL 60657",580000.0,3.0,2.0,2100.0
147,"2024 W Roscoe St Apt 2 Chicago, IL 60618",528000.0,3.0,2.0,2100.0
148,"6844 Zurich Ct Tinley Park, IL 60477",230000.0,2.0,2.0,2100.0
149,"641 W Willow St Apt 122 Chicago, IL 60614",568000.0,2.0,2.0,2100.0
150,"5401 Arlington Dr E Hanover Park, IL 60133",315000.0,4.0,2.5,2087.0
151,"2527 W Harrison St # 1 Chicago, IL 60612",820500.0,3.0,2.5,2075.0
152,"2044 W Roscoe St Unit 1S Chicago, IL 60618",720000.0,3.0,2.5,2050.0
153,"2040 Arbor Ln Northfield, IL 60093",397500.0,2.0,2.5,2035.0
154,"512 N McClurg Ct Apt 5407 Chicago, IL 60611",880000.0,3.0,3.0,2022.0
155,"250 E Pearson St Apt 2705 Chicago, IL 60611",1750000.0,3.0,3.0,2017.0
156,"57 E Delaware Pl Apt 2302 Chicago, IL 60611",912500.0,3.0,2.0,2015.0
157,"7021 W Touhy Ave Apt 201B Niles, IL 60714",308000.0,3.0,2.5,2013.0
158,"1100 N Lake Shore Dr Apt 14B Chicago, IL 60611",835000.0,3.0,2.5,2012.0
159,"4201 S Michigan Ave Apt 1S Chicago, IL 60653",1935000.0,2.0,2.5,2004.0
160,"2111 N Juniper Ln Arlington Heights, IL 60004",333500.0,2.0,3.5,2000.0
161,"4644 N Central Park Ave Chicago, IL 60625",320500.0,3.0,3.0,2000.0
162,"1629 E Hyde Park Blvd Apt 3 Chicago, IL 60615",300000.0,3.0,3.0,2000.0
163,"143 Oakhurst Rd Matteson, IL 60443",93000.0,4.0,2.5,2000.0
164,"1342 W Grenshaw St # 1 Chicago, IL 60607",360000.0,3.0,2.5,2000.0
165,"1624 N Wood St # 4 Chicago, IL 60622",515000.0,3.0,2.5,2000.0
166,"8132 Concord Ln Unit D Justice, IL 60458",164500.0,3.0,2.5,2000.0
167,"4554 N Paulina St Apt 6 Chicago, IL 60640",500000.0,3.0,2.5,2000.0
168,"2746 N Wolcott Ave Apt 1N Chicago, IL 60614",442500.0,3.0,2.5,2000.0
169,"1410 N State Pkwy Apt 8A Chicago, IL 60610",670000.0,3.0,2.5,2000.0
170,"2700 N Mildred Ave # 3 Chicago, IL 60614",645000.0,3.0,2.5,2000.0
171,"2450 N Racine Ave Chicago, IL 60614",525000.0,3.0,2.5,2000.0
172,"1939 Sherman Ave Apt 3E Evanston, IL 60201",746000.0,3.0,2.5,2000.0
173,"3150 N Lake Shore Dr Apt 10A Chicago, IL 60657",770000.0,3.0,2.5,2000.0
174,"1434 W Hollywood Ave Apt G Chicago, IL 60660",320000.0,2.0,2.5,2000.0
175,"2111 W Churchill St Apt 113 Chicago, IL 60647",695000.0,2.0,2.5,2000.0
176,"855 W Erie St Apt 122 Chicago, IL 60642",455000.0,2.0,2.5,2000.0
