Month,CountyFIPS,CountyName,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2018-08-01 00:00:00,26081,"Kent, MI",101,,279300.000000,-0.0566,0.0995,1545.0,0.1678,0.0293,30.00,-0.0625,-0.0625,1090.0,0.1498,0.1797,26.0,0.3000,-0.4348,686.0,0.2518,0.0652,0.0,-1.0000,-1.0000,342461.0000,-0.0257,0.0912,1545.0,0.1652,0.0286,0.0000,-0.0023,-0.0007
2018-08-01 00:00:00,12105,"Polk, FL",102,,229500.000000,-0.0024,0.0434,2831.0,0.0497,-0.0590,60.50,-0.0692,-0.1824,1152.0,0.1755,0.1429,120.0,-0.3182,-0.0323,762.0,0.0353,0.0026,1719.0,-0.0482,0.0160,277812.0000,-0.0069,0.0730,4550.0,0.0104,-0.0320,0.6072,-0.0624,0.0448
2018-08-01 00:00:00,12009,"Brevard, FL",103,,270000.000000,0.0002,0.0506,5057.0,-0.0090,0.0683,59.50,0.0085,0.0818,1452.0,0.0461,0.0000,82.0,0.0789,-0.0889,1236.0,0.0032,0.2612,325.0,0.0093,0.0708,362298.0000,0.0068,0.0371,5382.0,-0.0079,0.0685,0.0643,0.0012,0.0001
2018-08-01 00:00:00,48215,"Hidalgo, TX",104,,193650.000000,-0.0072,0.0243,2089.5,-0.0335,-0.0874,95.50,-0.0728,0.1040,510.0,0.2028,-0.0078,14.0,-0.1250,-0.2222,300.0,0.0135,-0.1176,1.0,,1.0000,249172.0000,-0.0035,0.0115,2090.5,-0.0331,-0.0871,0.0005,0.0005,0.0003
2018-08-01 00:00:00,42017,"Bucks, PA",105,*,414523.750000,-0.0132,0.0363,2179.5,0.0156,-0.1339,62.50,0.0776,-0.0909,740.0,-0.0513,-0.0633,46.0,0.0455,-0.1786,664.0,-0.0235,-0.0541,0.0,,-1.0000,573445.0000,-0.0064,0.0423,2179.5,0.0156,-0.4164,0.0000,0.0000,-0.4840
2018-08-01 00:00:00,08059,"Jefferson, CO",106,,460036.250000,-0.0213,-0.1153,2650.0,-0.0218,0.7169,34.50,0.1129,0.0615,1092.0,-0.1020,-0.0683,36.0,0.1250,-0.1818,786.0,0.0397,0.0369,53.0,-0.1311,-0.2148,592497.0000,-0.0233,-0.1435,2703.0,-0.0242,0.6778,0.0200,-0.0025,-0.0237
2018-08-01 00:00:00,34025,"Monmouth, NJ",107,,524800.000000,0.0111,0.0934,3899.5,0.0168,-0.0317,58.00,0.0943,-0.1077,1238.0,-0.0237,-0.0143,48.0,0.2000,-0.2500,976.0,-0.0861,0.0383,1.0,,-0.9775,750071.0000,0.0023,0.0389,3900.5,0.0171,-0.0420,0.0003,0.0003,-0.0108
2018-08-01 00:00:00,48157,"Fort Bend, TX",108,,347050.000000,-0.0083,-0.0014,4333.0,0.0049,-0.0117,57.00,0.0962,0.0755,1354.0,-0.1452,-0.0531,194.0,-0.0102,0.1687,1562.0,-0.1474,0.0669,1509.5,-0.0601,0.0360,420925.0000,-0.0104,0.0250,5842.5,-0.0128,0.0002,0.3484,-0.0241,0.0161
2018-08-01 00:00:00,20091,"Johnson, KS",109,,388772.500000,-0.0058,0.1029,2710.0,0.0496,0.1372,50.50,0.1222,0.0202,1002.0,-0.0511,0.1761,96.0,0.3333,1.1818,738.0,-0.0081,0.1677,0.0,,-1.0000,475270.0000,-0.0119,0.0535,2710.0,0.0496,0.1148,0.0000,0.0000,-0.0201
2018-08-01 00:00:00,17197,"Will, IL",110,,271925.000000,-0.0005,0.0497,4234.5,-0.0088,-0.0289,47.00,0.0444,-0.0874,1456.0,-0.0785,0.0801,44.0,-0.0833,-0.0833,1200.0,0.0381,0.0545,234.5,-0.1379,-0.1928,317791.0000,-0.0041,0.0553,4469.0,-0.0165,-0.0391,0.0554,-0.0083,-0.0112
2018-08-01 00:00:00,06077,"San Joaquin, CA",111,*,398049.500000,-0.0025,0.0207,1539.5,0.1036,0.1515,36.50,-0.0135,0.0735,990.0,0.0668,0.0487,6.0,0.5000,0.5000,74.0,0.8500,0.5417,1055.0,-0.0631,-0.1567,474133.0000,-0.0184,0.0137,2594.5,0.0292,0.0025,0.6853,-0.1219,-0.2504
2018-08-01 00:00:00,39153,"Summit, OH",112,,150625.000000,-0.0403,0.1232,2106.0,0.0519,-0.0855,47.00,-0.0600,-0.1132,852.0,0.0650,0.0416,8.0,-0.3333,-0.4286,584.0,0.0977,-0.0818,584.0,-0.0565,-0.0442,215896.0000,-0.0399,0.0699,2690.0,0.0263,-0.0769,0.2773,-0.0319,0.0120
2018-08-01 00:00:00,34029,"Ocean, NJ",113,,329050.000000,0.0123,0.0693,7593.5,0.0178,0.0633,69.00,0.0299,-0.0548,2206.0,0.0647,0.1255,78.0,0.1471,0.1471,1724.0,-0.0486,0.2262,2.0,0.0000,-0.9649,472537.0000,0.0056,0.0806,7595.5,0.0178,0.0552,0.0003,0.0000,-0.0077
2018-08-01 00:00:00,39113,"Montgomery, OH",114,,137450.000000,0.0103,0.1000,2411.5,0.0535,-0.1069,41.00,0.0000,-0.2931,984.0,-0.0315,0.0696,28.0,0.4000,0.1667,794.0,0.2178,0.0258,587.0,-0.0697,-0.2220,182239.0000,-0.0067,0.0755,2998.5,0.0269,-0.1320,0.2434,-0.0322,-0.0360
2018-08-01 00:00:00,55025,"Dane, WI",115,,324950.000000,-0.0003,0.0155,2436.5,-0.0494,0.1154,47.50,0.0556,0.0106,740.0,-0.1232,-0.0054,12.0,0.5000,-0.2500,512.0,-0.0657,0.0407,0.0,,,375843.0000,0.0012,0.0131,2436.5,-0.0494,0.1154,0.0000,0.0000,0.0000
2018-08-01 00:00:00,41067,"Washington, OR",116,,469817.250000,-0.0211,-0.0058,1790.0,0.1104,0.0895,35.50,0.1094,-0.0274,1062.0,-0.0310,0.0536,66.0,0.3750,0.1379,790.0,0.3345,0.1096,9.5,0.0556,-0.4571,562392.0000,-0.0227,0.0100,1799.5,0.1101,0.0837,0.0053,-0.0003,-0.0053
2018-08-01 00:00:00,12127,"Volusia, FL",117,,289050.000000,-0.0017,0.0707,4659.5,-0.0008,0.1571,72.00,0.0141,0.0360,1448.0,-0.0216,0.1869,98.0,0.2895,-0.0577,1420.0,0.0380,0.3894,786.5,0.0045,-0.0260,400663.0000,-0.0011,0.0205,5446.0,0.0000,0.1265,0.1688,0.0009,-0.0317
2018-08-01 00:00:00,25005,"Bristol, MA",118,,362450.000000,-0.0179,0.0628,1776.5,0.0650,0.0942,47.50,0.1585,-0.0952,770.0,-0.0026,0.2069,14.0,-0.1250,-0.4615,512.0,0.0667,0.2308,43.0,-0.1042,0.4333,433095.0000,-0.0082,0.0071,1819.5,0.0603,0.1004,0.0242,-0.0046,0.0057
2018-08-01 00:00:00,27123,"Ramsey, MN",119,,264950.000000,-0.0189,0.0600,1136.5,0.1077,-0.1128,32.50,0.0833,-0.1216,756.0,0.0107,0.0442,4.0,-0.7500,-0.7500,452.0,0.2418,-0.0544,698.0,-0.1415,-0.1137,364974.0000,-0.0300,0.0376,1834.5,-0.0024,-0.1131,0.6142,-0.1782,-0.0006
2018-08-01 00:00:00,31055,"Douglas, NE",120,*,298050.000000,-0.0063,0.0818,1524.5,0.0371,0.0076,30.50,0.1731,-0.2179,890.0,-0.0409,0.0325,44.0,0.5714,0.5714,494.0,0.1227,0.1279,12.0,-0.0769,-0.9913,354971.0000,-0.0176,0.0552,1536.5,0.0361,-0.4691,0.0079,-0.0010,-0.9049
2018-08-01 00:00:00,24003,"Anne Arundel, MD",121,,433550.000000,-0.0032,0.0340,2775.0,-0.0219,-0.0366,54.50,0.0900,-0.0268,890.0,-0.0955,0.0277,46.0,-0.4524,-0.4103,866.0,-0.1054,0.0409,3.0,0.0000,0.0000,550415.0000,0.0005,-0.0075,2778.0,-0.0218,-0.0366,0.0011,0.0000,0.0000
2018-08-01 00:00:00,42045,"Delaware, PA",122,*,250050.000000,0.0000,0.1687,1837.0,-0.0407,-0.2385,61.00,0.0339,-0.1586,622.0,-0.1063,-0.0032,40.0,-0.2308,-0.0476,552.0,-0.0548,-0.1125,1.0,-0.5000,-0.9990,444868.0000,-0.0076,0.1559,1838.0,-0.0412,-0.4547,0.0005,-0.0005,-0.3966
