Address ,List_Price ,
"1336 W Hampton Pl Palatine, IL 60067","$370,000 ",
"18855 Burnham Ave Apt 231 Lansing, IL 60438","$30,000 ",
"619 N Wille St Mount Prospect, IL 60056","$311,000 ",
"1402 W Flournoy St Apt 3 Chicago, IL 60607","$350,000 ",
"9006 S Oglesby Ave Chicago, IL 60617","$22,000 ",
"4432 S King Dr Chicago, IL 60653","$680,000 ",
"8800 167th St Orland Hills, IL 60487","$152,500 ",
"4032 W 109th St Oak Lawn, IL 60453","$30,000 ",
"Markham, IL 60428","$110,000 ",
"1122 W Catalpa Ave Apt 909 Chicago, IL 60640","$132,500 ",
"704 S Madison Ave La Grange, IL 60525","$300,000 ",
"534 N Home Ave Park Ridge, IL 60068","$45,000 ",
"1819 Laurel Ave Evanston, IL 60201","$447,500 ",
"11610 S Joalyce Dr Alsip, IL 60803","$935,000 ",
"1226 S 19th Ave Maywood, IL 60153","$15,000 ",
"1753 N Troy St Chicago, IL 60647","$275,000 ",
"14880 Harbor Dr Oak Forest, IL 60452","$61,000 ",
"15437 S 73rd Ave Orland Park, IL 60462","$110,000 ",
"420 N Derbyshire Ave Arlington Heights, IL 60004","$205,000 ",
"1917 W Potomac Ave # 2 Chicago, IL 60622","$285,500 ",
"600 N Lake Shore Dr Apt 1002 Chicago, IL 60611","$378,000 ",
"718 E Pershing Rd Chicago, IL 60653","$336,100 ",
"10812 McVicker Ave Chicago Ridge, IL 60415","$827,000 ",
"4039 Prairie Ave Schiller Park, IL 60176","$827,000 ",
"299 Fern Dr Elk Grove Village, IL 60007","$827,000 ",
"3822 S Central Ave Cicero, IL 60804","$257,500 ",
"10121 Hartford Ct Apt 1A Schiller Park, IL 60176","$300,000 ",
"8432 S Mackinaw Ave # 2F Chicago, IL 60617","$55,000 ",
"8517 Rockefeller Ave Brookfield, IL 60513","$118,000 ",
"2314 Sherman Ave Unit 1E Evanston, IL 60201","$47,500 ",
"411 N Leclaire Ave Chicago, IL 60644","$103,500 ",
"8843 S State St Chicago, IL 60619","$90,000 ",
"2024 N Racine Ave Apt F Chicago, IL 60614","$154,000 ",
"1856 N Sawyer Ave Apt 201 Chicago, IL 60647","$765,000 ",
"681 Prestwick Ln Wheeling, IL 60090","$327,000 ",
"5459 N Mobile Ave Chicago, IL 60630","$180,000 ",
"3312 N Keating Ave Chicago, IL 60641","$254,000 ",
"2827 W Nelson St Chicago, IL 60618","$56,500 ",
"6522 N Oak Park Ave Chicago, IL 60631","$409,500 ",
"6848 W Forest Preserve Dr Harwood Heights, IL 60706","$95,000 ",
"1572 Maple Ave Apt 304 Evanston, IL 60201","$529,000 ",
"763 S Spring Willow Bay Palatine, IL 60067","$285,000 ",
