Address,List_Price ,beds,baths,sq_ft
"Des Plaines, IL 60018","$330,000 ",3,3,"1,413"
"679 Talcott Ave Lemont, IL 60439","$399,000 ",3,3,"2,856"
"1218 Scoville Ave Berwyn, IL 60402","$299,999 ",3,2,2
"11124 S 84th Ave Apt 1A Palos Hills, IL 60465","$69,500 ",1,1,990
"3137 Sunset Ln Franklin Park, IL 60131","$398,500 ",4,3,"2,816"
"7160 S Harding Ave Chicago, IL 60629","$239,900 ",5,2,"1,500"
"14617 S Cleveland Ave Posen, IL 60469","$159,000 ",3,1,"1,175"
"1101 S State St Apt 707 Chicago, IL 60605","$324,900 ",2,2,2
"2865 N Clybourn Ave Unit 3 Chicago, IL 60618","$369,000 ",2,2,"1,600"
"1750 N Clybourn Ave Apt 301 Chicago, IL 60614","$750,000 ",3,2,"2,000"
"1529 W Farwell Ave Apt 3S Chicago, IL 60626","$225,000 ",2,2,2
"3454 N Janssen Ave Apt C-1 Chicago, IL 60657","$239,900 ",1,1,1
"6752 S Lafayette Ave # 2 Chicago, IL 60621","$18,000 ",,,
"30 E Huron St Apt 2910 Chicago, IL 60611","$315,000 ",1,1,1
"6219 S Rhodes Ave Chicago, IL 60637","$399,900 ",,,
"1211 S Prairie Ave Apt 3103 Chicago, IL 60605","$530,000 ",1,1,"1,002"
"9996 Sandburg Ct Palos Park, IL 60464","$499,900 ",5,2.5,"3,885"
"127 Forest Edge Dr Palos Park, IL 60464","$4,200,000 ",5,7,"4,821"
"6010 S Kostner Ave Chicago, IL 60629","$199,000 ",2,1,"1,450"
"18658 William St Lansing, IL 60438","$134,900 ",3,2,"1,200"
"8307 S Buffalo Ave Chicago, IL 60617","$89,000 ",4,2,"2,176"
"8020 S Brandon Ave Chicago, IL 60617","$64,000 ",3,1,"1,100"
"10544 S La Salle St Chicago, IL 60628","$59,900 ",3,1,850
"1830 N 23rd Ave Melrose Park, IL 60160","$135,000 ",3,1,"1,171"
"Chicago, IL 60634","$335,000 ",4,,
"1428 Brophy Ave Park Ridge, IL 60068","$499,900 ",4,2.5,2.5
"1707 W Wallen Ave Apt 3G Chicago, IL 60626","$73,500 ",1,1,1
"2669 N Greenwood Ave Arlington Heights, IL 60004","$249,900 ",3,2.5,"1,710"
"914 E Cooper Dr Palatine, IL 60074","$275,000 ",3,2,"1,751"
"11327 S Wallace St Chicago, IL 60628","$141,000 ",3,2,2
"5652 W Sunnyside Ave Chicago, IL 60630","$424,900 ",4,3,"2,833"
"2011 N Stillwater Rd # 3-3 Arlington Heights, IL 60004","$245,000 ",2,1.5,1.5
"4642 Custer Ave Brookfield, IL 60513","$259,000 ",3,2.5,"2,300"
"701 Newberry Ave La Grange Park, IL 60526","$174,900 ",3,1,1
"5701 N Sheridan Rd Apt 3M Chicago, IL 60660","$149,000 ",1,1,1
"433 W Briar Pl Apt 5C Chicago, IL 60657","$449,000 ",2,2.5,"1,650"
"4343 N Clarendon Ave Apt 904 Chicago, IL 60613","$171,500 ",1,1,750
"1801 Camden Dr Glenview, IL 60025","$669,000 ",3,3.5,3.5
"2814 W Chicago Ave Apt 3 Chicago, IL 60622","$349,900 ",3,2,"1,550"
"3660 N Lake Shore Dr Apt 1504 Chicago, IL 60613","$269,000 ",1,1,800
"5026 W Ainslie St Chicago, IL 60630","$225,000 ",,,
"2016 W Race Ave Chicago, IL 60612","$1,250,000 ",3,3.5,"3,500"
"4153 N Claremont Ave Chicago, IL 60618","$550,000 ",,,
"55 W Delaware Pl Apt 920 Chicago, IL 60610","$1,200,000 ",3,3,"2,138"
"7545 W Carmen Ave Harwood Heights, IL 60706","$359,000 ",5,2,"1,634"
"6833 N Kedzie Ave Apt 1016 Chicago, IL 60645","$184,900 ",3,2,"1,900"
"284 Sierra Pass Dr Schaumburg, IL 60194","$224,900 ",2,1.5,1.5
"3550 N Lake Shore Dr Apt 2311 Chicago, IL 60657","$135,000 ",,1,1
"12632 S 73rd Ave Palos Heights, IL 60463","$259,900 ",3,2,"1,840"
"15400 Kilpatrick Ave Oak Forest, IL 60452","$189,900 ",3,2,"1,435"
"1021 Peterson Ave Apt 302 Park Ridge, IL 60068","$355,000 ",2,2.5,"1,412"
"887 Ash St Winnetka, IL 60093","$1,295,000 ",4,3.5,"3,045"
"12748 S Escanaba Ave Chicago, IL 60633","$125,000 ",3,1,"1,066"
"1450 W Erie St Apt 3W Chicago, IL 60642","$424,900 ",2,2,2
"130 N Garland Ct Apt 1210 Chicago, IL 60602","$369,900 ",1,1.5,900
"324 W 117th St Chicago, IL 60628","$3,500 ",,1,"1,784"
"1909 N Howe St Chicago, IL 60614","$2,295,000 ",5,4.5,"5,108"
"1731 N Fern Ct Chicago, IL 60614","$959,000 ",4,2.5,2.5
"235 N Smith St Apt 501 Palatine, IL 60067","$196,000 ",1,1,750
"1222 Cuyler Ave Berwyn, IL 60402","$264,900 ",3,2,"1,689"
"4014 Rose Ave Lyons, IL 60534","$229,900 ",4,2,"1,000"
"1521 S 49th Ct Cicero, IL 60804","$219,999 ",5,,
"1352 N Knollwood Dr # A11 Palatine, IL 60067","$200,000 ",2,1.5,"1,155"
"926 S Cumberland Ave Park Ridge, IL 60068","$719,000 ",5,4,"3,696"
"10843 S Prospect Ave Chicago, IL 60643","$217,000 ",3,2.5,"2,952"
"10257 S Leavitt St Chicago, IL 60643","$429,900 ",4,2.5,"2,144"
"1433 E End Ave Chicago Heights, IL 60411","$34,900 ",3,1.5,"1,032"
"115 N Wille St Mount Prospect, IL 60056","$225,000 ",3,2,"1,138"
"520 S State St Apt 1014 Chicago, IL 60605","$284,999 ",1,1,895
"1451 W 114th Pl Chicago, IL 60643","$157,500 ",5,2,"1,832"
"2340 S 14th Ave Broadview, IL 60155","$188,900 ",2,1,955
"108 Frederick Ave Bellwood, IL 60104","$189,900 ",3,2,"1,000"
"3660 N Lake Shore Dr Apt 4709 Chicago, IL 60613","$189,900 ",,1,1
"5415 N Sheridan Rd Apt 2905 Chicago, IL 60640","$188,200 ",1,1,810
"1826 182nd St Lansing, IL 60438","$134,900 ",2,1.5,"1,880"
"2901 W 98th Pl Evergreen Park, IL 60805","$274,900 ",4,2,"1,458"
"7711 S Carpenter St Chicago, IL 60620","$159,900 ",4,2,2
"11659 S May St Chicago, IL 60643","$174,900 ",4,1.5,"1,600"
"10031 S Turner Ave Evergreen Park, IL 60805","$209,900 ",2,2,"1,193"
"10235 S Whipple St Chicago, IL 60655","$229,900 ",3,1,"1,027"
"349 E 22nd St Chicago Heights, IL 60411","$82,900 ",6,,
"223 Mandel Ln Prospect Heights, IL 60070","$319,000 ",3,2,"1,197"
"404 S Deborah Ln Mount Prospect, IL 60056","$365,000 ",3,2.5,"1,418"
"244 Acorn Dr Streamwood, IL 60107","$164,000 ",3,1.5,"1,286"
"3920 W Huron St Chicago, IL 60624","$275,000 ",11,,
"3714 N Southport Ave Chicago, IL 60613","$1,025,000 ",3,,
"3852 N Janssen Ave # 1 Chicago, IL 60613","$1,125,000 ",4,2.5,"2,800"
"210 S Desplaines St Apt 505 Chicago, IL 60661","$439,000 ",2,2,2
