Address,List_Price ,beds,baths,sq_ft
"12126 S Flambeau Dr Palos Heights, IL 60463","$289,900 ",4,2,"2,100"
"5747 S California Ave Chicago, IL 60629","$249,900 ",4,,
"384 S Wolf Rd Des Plaines, IL 60016","$262,500 ",3,1,"1,137"
"1487 N Clybourn Ave Unit D Chicago, IL 60610","$564,900 ",3,2.5,"1,800"
"1627 Belleview Ave Westchester, IL 60154","$364,500 ",4,2.5,"2,000"
"10044 Schiller Blvd Franklin Park, IL 60131","$229,000 ",3,2,"1,700"
"5401 N Milwaukee Ave Apt 1B Chicago, IL 60630","$199,900 ",2,2,"1,000"
"4936 N Orange Ave Norridge, IL 60706","$529,000 ",4,3.5,"3,000"
"173 Abbeywood Cir Streamwood, IL 60107","$238,000 ",3,1.5,"1,496"
"42 Sawgrass Dr Lemont, IL 60439","$900,000 ",5,4.5,"6,800"
"8727 W Bryn Mawr Ave Apt 702 Chicago, IL 60631","$333,000 ",3,2,"1,900"
"2135 Camden Ln Hanover Park, IL 60133","$195,000 ",3,2.5,"1,412"
"308 N Kenilworth Ave Oak Park, IL 60302","$899,000 ",4,2.5,"2,400"
"529 Northport Dr Elk Grove Village, IL 60007","$390,000 ",4,2.5,"2,200"
"5415 N Sheridan Rd Apt 1608 Chicago, IL 60640","$152,900 ",1,1,700
"9530 S Damen Ave Chicago, IL 60643","$315,000 ",3,3,"1,697"
"5104 N Tripp Ave Chicago, IL 60630","$310,000 ",4,3,"1,008"
"1356 Northmoor Ct Northbrook, IL 60062","$595,000 ",3,3,"2,655"
"967 W Dorset Ave Palatine, IL 60067","$895,000 ",4,3,"4,590"
"1515 W Cullom Ave Apt 1 Chicago, IL 60613","$294,999 ",2,2,"1,200"
"351 W Michigan Ave Palatine, IL 60067","$479,000 ",4,2.5,"2,983"
"1215 W Devon Ave Chicago, IL 60660","$45,000 ",,,
"4348 S Saint Louis Ave Chicago, IL 60632","$219,999 ",6,2,"1,500"
"6742 S Artesian Ave Chicago, IL 60629","$75,000 ",4,,
"1128 Hewitt Dr Des Plaines, IL 60016","$449,900 ",4,3.5,"2,909"
"1628 S 55th Ct Cicero, IL 60804","$299,900 ",5,2,"1,550"
"1616 Sheridan Rd Unit 3H Wilmette, IL 60091","$275,000 ",3,2,"1,800"
"5230 N Campbell Ave Apt 1B Chicago, IL 60625","$210,000 ",2,2,2
"1725 S Desplaines St Chicago, IL 60616","$500,000 ",6,,
"2224 W Melrose St Chicago, IL 60618","$775,000 ",7,,
"1601 W Montrose Ave Chicago, IL 60613","$3,525,000 ",,,
"11148 S Lawler Ave Alsip, IL 60803","$169,900 ",2,1,1
"3624 213th Pl Matteson, IL 60443","$189,500 ",4,1.5,"2,096"
"7912 S Kenwood Ave Chicago, IL 60619","$204,000 ",4,3,"1,800"
"614 Bayview Pt Schaumburg, IL 60194","$203,000 ",3,2,"1,200"
"5000 S Cornell Ave Apt 9A Chicago, IL 60615","$249,900 ",3,2,"1,800"
"601 S Harvey Ave Oak Park, IL 60304","$513,000 ",6,3,"2,488"
"130 E Hirsch Ave Northlake, IL 60164","$384,900 ",3,3,"1,806"
"1139 N Latrobe Ave Chicago, IL 60651","$240,000 ",5,3,1
"2620 W 98th Pl Evergreen Park, IL 60805","$117,500 ",3,1,1
"11 N Summit Dr Schaumburg, IL 60194","$360,000 ",2,2.5,"2,012"
"1448 N Yale Ave Arlington Heights, IL 60004","$709,900 ",5,2.5,"3,338"
"128 S Patton Ave Arlington Heights, IL 60005","$329,900 ",4,2,2
"1843 N Paulina St Chicago, IL 60622","$1,550,000 ",5,4.5,"4,950"
"1643 N Burling St Chicago, IL 60614","$2,590,000 ",6,5.5,"5,580"
"450 W Briar Pl Apt 7E Chicago, IL 60657","$169,900 ",1,1,1
"4427 N Menard Ave Chicago, IL 60630","$364,900 ",4,3,3
"3137 W Wilson Ave Apt 1 Chicago, IL 60625","$184,900 ",2,1.5,1.5
"2622 N Marmora Ave Chicago, IL 60639","$224,000 ",2,1,929
"4030 N McVicker Ave Chicago, IL 60634","$379,900 ",4,2,2
"28 Ruffled Feathers Dr Lemont, IL 60439","$599,000 ",4,4,"4,023"
"495 W Newport Rd Hoffman Estates, IL 60169","$299,900 ",3,2,"1,619"
"1113 N 9th Ave Maywood, IL 60153","$29,000 ",3,,
"10746 S Whipple St Chicago, IL 60655","$199,900 ",2,1,"1,028"
"7551 S Perry Ave Chicago, IL 60620","$59,000 ",2,1.5,"1,401"
"8419 S Hamilton Ave Chicago, IL 60620","$115,000 ",2,1.5,935
"2980 Northampton Dr Apt A1 Rolling Meadows, IL 60008","$145,000 ",3,2,"1,313"
"2121 Ivy Ridge Dr Hoffman Estates, IL 60192","$237,500 ",2,2.5,"1,744"
"802 E Appletree Ln Arlington Heights, IL 60004","$449,900 ",4,2.5,"2,548"
"100 Prairie Park Dr Wheeling, IL 60090","$289,900 ",2,2,"1,418"
"1122 W Newport Ave Apt 2B Chicago, IL 60657","$269,000 ",1,1,1
"777 N Michigan Ave Apt 801 Chicago, IL 60611","$749,000 ",2,2.5,"1,650"
"235 W Van Buren St Chicago, IL 60607","$310,000 ",2,1,976
"456 E 87th St Chicago, IL 60619","$130,000 ",5,3,"1,458"
"6922 N Kenton Ave Lincolnwood, IL 60712","$379,000 ",3,2,"1,603"
"10736 Long Ave Oak Lawn, IL 60453","$324,900 ",5,3,"2,440"
"712 S May St Chicago, IL 60607","$1,850,000 ",6,4.5,"6,500"
"701 Forum Sq Unit 203 Glenview, IL 60025","$230,000 ",2,2,"1,400"
"5300 Carriageway Dr Apt 102 Rolling Meadows, IL 60008","$120,000 ",2,1,1
"698 Scarbrough Cir Hoffman Estates, IL 60169","$260,000 ",3,2.5,"1,835"
"3976 S Ellis Ave Apt Gn Chicago, IL 60653","$299,000 ",3,2,"2,100"
"1400 Grantham Dr Schaumburg, IL 60193","$749,000 ",4,4,4
"10058 Meadow Ln Des Plaines, IL 60016","$295,000 ",4,2,"2,100"
"4715 N Oconto Ave Harwood Heights, IL 60706","$260,000 ",4,2,"1,224"
"1250 Rudolph Rd Apt 4J Northbrook, IL 60062","$299,000 ",3,3,"2,000"
"5325 W Belmont Ave Chicago, IL 60641",N/A,,,
"1205 W New Britton Dr Hoffman Estates, IL 60192","$314,900 ",4,2.5,"1,912"
"7911 W Birchdale Ave Elmwood Park, IL 60707","$336,900 ",6,3,"2,200"
"5744 N California Ave Chicago, IL 60659","$2,500,000 ",,,
"9111 Del Prado Dr Palos Hills, IL 60465","$269,900 ",2,2.5,"2,162"
"4038 N Marmora Ave Chicago, IL 60634","$320,000 ",3,3,"1,980"
"5347 W Melrose St Chicago, IL 60641","$288,000 ",4,2,"2,000"
"2 E Oak St Apt 3203 Chicago, IL 60611","$182,000 ",,1,650
"1338 W Irving Park Rd # 1 Chicago, IL 60613","$130,000 ",,,
"5937 Allemong Dr Matteson, IL 60443","$85,000 ",4,3,"1,194"
"45 E 156th St South Holland, IL 60473","$70,000 ",3,2,"1,304"
"10429 Lacrosse Ave Oak Lawn, IL 60453","$174,900 ",3,1,"1,200"
"1832 Portsmouth Ave Westchester, IL 60154","$262,000 ",3,2,"1,756"
"1556 Evers Ave Westchester, IL 60154","$275,000 ",3,2,"1,298"
"2203 E 100th St Chicago, IL 60617","$55,900 ",2,1.5,"1,064"
"11922 S 89th Ct Palos Park, IL 60464","$599,000 ",4,3,"4,100"
"134 Waltham St Calumet City, IL 60409","$103,500 ",4,2,"1,331"
"3836 W 86th Pl Chicago, IL 60652","$229,900 ",5,3,"1,400"
"4960 N Marine Dr Apt 416 Chicago, IL 60640","$110,000 ",1,1,1
"628 S Bristol Ln Arlington Heights, IL 60005","$499,000 ",4,2.5,"2,102"
"636 Bridgeview Pt Schaumburg, IL 60194","$189,000 ",2,1.5,"1,100"
"424 Park Ave Apt 604 River Forest, IL 60305","$265,000 ",2,2,2
"400 N La Salle Dr Apt 1205 Chicago, IL 60654","$395,000 ",2,1.5,1.5
"1539 N 23rd Ave Melrose Park, IL 60160","$159,900 ",2,1,"1,000"
"16836 Highview Ave Orland Hills, IL 60487","$169,900 ",3,1.5,"1,550"
"Chicago, IL 60630","$324,900 ",3,2,"2,043"
"181 Willow Blvd # 1005A Willow Springs, IL 60480","$239,900 ",3,2.5,2.5
"4535 N Lowell Ave Chicago, IL 60630","$649,900 ",5,3.5,"3,000"
"315 Nordica Ave Glenview, IL 60025","$465,000 ",3,2,"1,507"
"510 Winnetka Ave Winnetka, IL 60093","$959,000 ",,,
"810 N Stratford Rd Arlington Heights, IL 60004","$365,000 ",3,2,"1,750"
"1315 E 75th St Apt C Chicago, IL 60619","$24,900 ",2,1,888
"16644 Grants Trl Orland Park, IL 60467","$267,000 ",3,3,"1,762"
"2310 S Saint Louis Ave # 2 Chicago, IL 60623","$199,900 ",4,,
"447 N Spring Ave La Grange Park, IL 60526","$999,900 ",5,4.5,4.5
"9356 Dunmurry Dr Orland Park, IL 60462","$369,900 ",4,3.5,"2,342"
"331 S Ridgeland Ave Apt B Oak Park, IL 60302","$349,900 ",2,2.5,"1,600"
"1534 Marengo Ave Forest Park, IL 60130","$199,900 ",3,1,1
"12313 S 91st Ave Palos Park, IL 60464","$598,900 ",5,4,"3,000"
"830 N Dunton Ave Arlington Heights, IL 60004","$289,900 ",3,2,"1,608"
"240 E Illinois St Apt 406 Chicago, IL 60611","$574,900 ",2,2,"1,314"
"12527 S Harvard Ave Chicago, IL 60628","$139,900 ",3,2,"1,074"
"7415 Tripp Ave Skokie, IL 60076","$267,000 ",2,2,"1,188"
"2529 W Division St Chicago, IL 60622","$599,000 ",,,
"320 N 7th Ave Maywood, IL 60153","$133,700 ",4,,
"507 N 7th Ave Maywood, IL 60153","$143,900 ",4,,
"405 Augusta St Maywood, IL 60153","$233,000 ",4,2.5,"1,560"
"400 Ashwood Dr Schaumburg, IL 60193","$379,900 ",4,2.5,"2,138"
"7344 S Yale Ave Chicago, IL 60621","$180,000 ",6,,
"7625 S Green St Chicago, IL 60620","$170,000 ",5,,
"3862 Marilyn Dr Richton Park, IL 60471","$280,000 ",5,2.5,"4,064"
"5854 S Newcastle Ave Chicago, IL 60638","$245,000 ",4,2,"1,000"
"431 Abbington Pl Schaumburg, IL 60194","$293,500 ",3,2,"1,616"
"808 S 15th Ave Maywood, IL 60153","$165,000 ",5,1.5,"1,980"
"Chicago, IL 60643","$99,999 ",2,1,700
"10824 S Peoria St Chicago, IL 60643","$94,900 ",3,2,2
"10349 S Green St Chicago, IL 60643","$27,500 ",2,1,964
"10409 Sheffield Dr Apt 1N Palos Hills, IL 60465","$72,000 ",1,1,915
"1809 Clarence Ave Berwyn, IL 60402","$254,000 ",3,1.5,1.5
"11 N Schoenbeck Rd Prospect Heights, IL 60070","$314,900 ",3,2,"2,341"
"739 W Buckingham Pl Chicago, IL 60657","$279,900 ",1,1,900
"1440 N Lake Shore Dr Apt 28E Chicago, IL 60610","$549,000 ",2,2,"1,350"
"5048 W Grace St Chicago, IL 60641","$499,900 ",4,4,"2,800"
"2325 S Cedar Glen Dr Arlington Heights, IL 60005","$409,000 ",4,2.5,"2,450"
"17012 Steeplechase Pkwy Orland Park, IL 60467","$418,800 ",3,3,"3,300"
"1923 N Richmond St Chicago, IL 60647","$659,000 ",7,,
"2834 Highland Ave # 2 Berwyn, IL 60402","$274,000 ",4,2,2
"105 Narragansett Ct Morton Grove, IL 60053","$289,999 ",2,2.5,"2,312"
"12316 S 82nd Ave Palos Park, IL 60464","$499,900 ",4,2.5,"2,849"
"5343 N Central Ave Chicago, IL 60630","$279,900 ",3,2,832
"394 Jefferson Ave Glencoe, IL 60022","$809,000 ",4,2.5,2.5
"1020 Elm St Winnetka, IL 60093","$1,499,000 ",6,5.5,"4,120"
"108 Santa Fe Ln Willow Springs, IL 60480","$319,993 ",2,3.5,"1,831"
"3610 Briar Ln Hazel Crest, IL 60429","$169,900 ",5,2.5,"1,750"
"2509 E 72nd St Chicago, IL 60649","$99,000 ",3,1.5,"1,298"
"3003 N Lowell Ave Chicago, IL 60641","$285,000 ",5,2,"1,169"
"9422 Bay Colony Dr Apt 3E Des Plaines, IL 60016","$132,000 ",2,1,"1,000"
"11042 W 72nd St Indian Head Park, IL 60525","$299,500 ",2,3.5,"1,508"
"2323 W Pershing Rd Apt 203 Chicago, IL 60609","$183,000 ",1,1,970
"389 E 164th St Harvey, IL 60426","$66,900 ",3,2,"2,123"
"6914 W North Ave Chicago, IL 60707","$379,900 ",,,
"5729 Victoria Dr Oak Forest, IL 60452","$209,900 ",3,1.5,1.5
"2606 W Ainslie St Chicago, IL 60625","$174,900 ",2,1,1
"3150 N Lake Shore Dr Apt 30F Chicago, IL 60657","$599,000 ",3,2.5,"2,200"
"6400 N Cicero Ave Apt 412 Lincolnwood, IL 60712","$325,000 ",3,2,"1,870"
"232 N Illinois Ave Glenwood, IL 60425","$130,000 ",3,2,"1,453"
"6 Lahinch Dr Lemont, IL 60439","$339,000 ",3,2,"1,914"
"4219 N Salem Dr Arlington Heights, IL 60004","$488,900 ",4,2.5,"2,698"
"716 N Walden Dr Palatine, IL 60067","$264,900 ",2,2.5,"1,775"
"5448 N Kildare Ave Chicago, IL 60630","$625,000 ",4,3.5,"3,000"
"237 Washington Blvd Apt 3A Oak Park, IL 60302","$175,000 ",2,1,1
"4304 N Milwaukee Ave Chicago, IL 60641","$269,999 ",3,2.5,2.5
"1300 Rice St Melrose Park, IL 60160","$265,000 ",3,1.5,"1,631"
"1600 S Indiana Ave Unit 606 Chicago, IL 60616","$344,900 ",2,2,"1,000"
"814 E Woodfield Rd # C100 Schaumburg, IL 60173",N/A,,,
"1571 Hillcrest Ave Hanover Park, IL 60133","$239,900 ",3,1.5,1.5
"249 N Linden Ave Palatine, IL 60074","$245,000 ",3,2,"1,731"
"635 Birchwood Ave Des Plaines, IL 60018","$410,000 ",3,3,"2,236"
"3541 N Paris Ave Chicago, IL 60634","$579,000 ",5,3.5,"2,400"
"2630 N 74th Ct Elmwood Park, IL 60707","$450,000 ",5,4.5,4.5
"2401 S 12th Ave Broadview, IL 60155","$179,000 ",2,1,1
"213 Apple Hill Ln Streamwood, IL 60107","$269,900 ",3,2,"1,798"
"5632 W 99th St Oak Lawn, IL 60453","$298,900 ",3,2,"1,884"
"142 W Swann St Chicago, IL 60609","$120,000 ",3,1,798
"10951 S Avenue D Chicago, IL 60617","$97,900 ",3,2,"1,100"
"10105 S Fairfield Ave Chicago, IL 60655","$254,900 ",4,1.5,"1,015"
"809 Home Ave Oak Park, IL 60304","$1,050,000 ",6,4.5,"4,500"
"1218 W Kelly St Arlington Heights, IL 60004","$599,999 ",5,2.5,"3,546"
"411 W Ontario St Apt 325 Chicago, IL 60654","$399,900 ",2,2,"1,350"
"4911 N Central Ave Apt 5 Chicago, IL 60630","$159,900 ",2,1,1
"8 W Monroe St Apt 2000 Chicago, IL 60603","$264,500 ",2,1.5,"1,000"
"16031 Pine Dr # 26-71 Tinley Park, IL 60477","$198,000 ",2,2.5,"2,000"
"4936 N Lincoln Ave Apt 4N Chicago, IL 60625","$429,900 ",2,2,"1,620"
"38 S Rohlwing Rd Palatine, IL 60074","$258,000 ",4,2.5,"1,335"
"1530 S State St Apt 431 Chicago, IL 60605","$249,000 ",1,1,1
"1735 Pinehurst Ln Flossmoor, IL 60422","$144,900 ",4,2.5,"2,915"
"3112 N Nagle Ave Chicago, IL 60634","$210,000 ",6,3,"1,700"
"7913 S Avalon Ave Chicago, IL 60619","$195,900 ",5,3,"1,700"
"6028 S Archer Rd Apt 7 Summit, IL 60501","$89,900 ",2,1,"1,000"
"4152 W Nelson St Chicago, IL 60641","$459,900 ",6,,
"1925 W Chicago Ave Apt 4 Chicago, IL 60622","$519,900 ",3,2,2
"309 E Haven St Arlington Heights, IL 60005","$675,000 ",4,3.5,"3,520"
"9224 Parkside Ave Oak Lawn, IL 60453","$319,900 ",3,2,"1,169"
"11630 S Wallace St Chicago, IL 60628","$48,000 ",3,1,"1,175"
"5519 N Odell Ave Chicago, IL 60656","$299,000 ",3,2,2
"5644 N Nagle Ave Chicago, IL 60646","$279,900 ",3,1,"1,176"
"14738 Hamlin Ave Midlothian, IL 60445","$175,000 ",4,2,"1,800"
"4122 Bristol Ct Northbrook, IL 60062","$699,900 ",6,3.5,"3,789"
"2145 Sycamore Ave Hanover Park, IL 60133","$289,900 ",4,2.5,"2,624"
"2105 Harvey Ave Berwyn, IL 60402","$214,900 ",5,,
"3318 N Plainfield Ave Chicago, IL 60634","$349,900 ",6,2,"1,418"
"9312 Jefferson Ave Brookfield, IL 60513","$205,000 ",4,1,1
"10113 Parke Ave Oak Lawn, IL 60453","$349,900 ",5,3,"1,350"
"2633 Somerset Dr Westchester, IL 60154","$399,900 ",4,3.5,"2,836"
"3808 Wesley Ave Berwyn, IL 60402","$155,000 ",2,1,"1,010"
"2555 W Pope John Paul II Dr Chicago, IL 60632","$159,000 ",,,
"2557 W Pope John Paul II Dr Chicago, IL 60632","$219,000 ",,,
"1945 N 77th Ct Elmwood Park, IL 60707","$419,900 ",4,2,"2,212"
"415 Grayfriars Ln Inverness, IL 60067","$569,499 ",4,2.5,"3,800"
"3005 Starling Ln Rolling Meadows, IL 60008","$249,500 ",3,1,"1,023"
"432 Skokie Blvd Wilmette, IL 60091","$299,900 ",3,2.5,"2,320"
"1000 N State St Chicago, IL 60610","$1,250,000 ",4,3.5,"3,582"
"4603 N Racine Ave Apt 202 Chicago, IL 60640","$440,000 ",3,2,"1,780"
"8331 Kolmar Ave Skokie, IL 60076","$289,000 ",3,2.5,"1,300"
"6134 N Damen Ave Apt 3B Chicago, IL 60659","$129,900 ",2,1,1
"2026 S 4th Ave Maywood, IL 60153","$179,900 ",3,2,"1,164"
"1800 Ridge Ave Unit 105 Evanston, IL 60201","$430,000 ",2,2,2
"825 Redwood Ln Glenview, IL 60025","$1,995,000 ",6,5.5,"4,503"
"244 Mantua St Park Forest, IL 60466","$42,900 ",3,1,"1,169"
"920 W Waveland Ave # 3 Chicago, IL 60613","$275,000 ",2,1,"1,100"
"7901 S Avalon Ave Chicago, IL 60619","$165,000 ",,,
"6428 N Fairfield Ave Unit 1W Chicago, IL 60645","$249,900 ",3,3,3
"419 S Ojibwa Trl Mount Prospect, IL 60056","$539,900 ",3,2,"1,684"
"16332 67th Ct Tinley Park, IL 60477","$199,000 ",3,1.5,"1,200"
"8627 S Colfax Ave Chicago, IL 60617","$57,500 ",4,1,"1,577"
"10963 S Homewood Ave Chicago, IL 60643","$140,000 ",4,3,"2,240"
"3256 N Oconto Ave Chicago, IL 60634","$359,900 ",4,3,"1,800"
"5940 S Kilbourn Ave Chicago, IL 60629","$369,900 ",8,,
"7311 N Kostner Ave Lincolnwood, IL 60712","$468,000 ",4,2.5,"5,580"
"214 Avondale Dr Palatine, IL 60067","$455,000 ",5,2.5,"2,563"
"4255 N Knox Ave Chicago, IL 60641",N/A,,,
"100 N Hermitage Ave Unit 613 Chicago, IL 60612","$310,000 ",2,2,"1,232"
"2100 Park St Rolling Meadows, IL 60008","$245,900 ",3,1.5,"1,350"
"1700 N 74th Ave Elmwood Park, IL 60707","$289,900 ",4,2.5,"2,150"
"8026 S Drexel Ave Chicago, IL 60619","$155,000 ",,,
"6819 N Lakewood Ave Apt 2W Chicago, IL 60626","$200,000 ",2,2,"1,200"
"1107 Clark Ln Des Plaines, IL 60016","$279,000 ",3,1.5,"1,306"
"7950 Glenfield Ave Tinley Park, IL 60487","$339,900 ",3,3.5,"2,535"
"19010 Willow Ave Country Club Hills, IL 60478","$134,800 ",3,2,"1,505"
"2306 Josephine Ct Palatine, IL 60067","$459,900 ",4,2.5,"2,613"
"5052 N Wolcott Ave Chicago, IL 60640","$869,999 ",7,,
"2208 Romm Ct Schaumburg, IL 60194","$355,000 ",3,2.5,"2,122"
"9360 Skokie Blvd Unit 217 Skokie, IL 60077","$334,900 ",3,2,"1,767"
"40 E 9th St Apt 611 Chicago, IL 60605","$229,900 ",1,1,625
"6122 S Meade Ave Chicago, IL 60638","$289,900 ",5,3,"2,088"
"2842 W Chase Ave Chicago, IL 60645","$329,900 ",3,1.5,1.5
"3518 S 61st Ave Cicero, IL 60804","$274,900 ",4,3,"1,600"
"204 S Cliff St Willow Springs, IL 60480","$218,900 ",3,2.5,"1,411"
"3701 Madison Ave Brookfield, IL 60513","$249,000 ",3,1.5,"1,485"
"1075 Hassell Rd Hoffman Estates, IL 60169","$330,000 ",5,2.5,"2,350"
"1405 Yale Ln Schaumburg, IL 60193","$294,900 ",4,2.5,"1,210"
"357 Minocqua St Park Forest, IL 60466","$22,900 ",2,1,974
"257 Dover Dr Apt D Des Plaines, IL 60018","$193,000 ",3,1.5,"1,440"
"1580 Sherman Ave Apt 1007 Evanston, IL 60201","$455,000 ",2,2,"1,573"
"1551 Ashland Ave Apt 201 Des Plaines, IL 60016","$134,900 ",1,1,800
"18837 May Ave Homewood, IL 60430","$180,000 ",4,2.5,"1,854"
"1322 S Prairie Ave Unit 1205 Chicago, IL 60605","$425,000 ",2,2,"1,170"
"348 E 90th Pl Chicago, IL 60619","$189,900 ",4,2,"1,000"
"7902 W 77th St Bridgeview, IL 60455","$229,900 ",3,2,"1,200"
"4109 W 100th St Oak Lawn, IL 60453","$279,900 ",4,2.5,"1,700"
"8602 S Exchange Ave Chicago, IL 60617","$150,000 ",6,,
"2525 W Cortland St Chicago, IL 60647","$819,000 ",5,3.5,"3,645"
"4635 S Keeler Ave Chicago, IL 60632","$215,000 ",2,1.5,"1,043"
"10813 Chaucer Dr Willow Springs, IL 60480","$199,000 ",,,
"2509 S 2nd Ave North Riverside, IL 60546","$269,000 ",3,1,"1,100"
"8225 Niles Center Rd Apt 409 Skokie, IL 60077","$219,000 ",3,2,"1,600"
"333 S Royal Ct Palatine, IL 60067","$415,000 ",4,2.5,"2,402"
"3314 Church St Evanston, IL 60203","$284,500 ",3,1.5,"1,327"
"1518 Laverne Ave Park Ridge, IL 60068","$399,900 ",3,2,"1,400"
"2318 N Greenview Ave Chicago, IL 60614","$1,179,000 ",4,3.5,"3,060"
"420 E Waterside Dr Unit 4214 Chicago, IL 60601","$1,250,000 ",3,3,"1,896"
"1423 S 57th Ct Cicero, IL 60804","$179,900 ",3,1,"1,104"
"1849 N Natchez Ave Chicago, IL 60707","$330,000 ",4,2.5,"1,971"
"33 Rockford Ave Apt 3CW Forest Park, IL 60130","$140,000 ",2,1,"1,100"
"3704 Dove St Rolling Meadows, IL 60008","$232,000 ",3,1,"1,020"
"3007 W Fulton St Chicago, IL 60612","$349,900 ",4,,
"5610 S Christiana Ave Chicago, IL 60629","$229,900 ",5,3,957
"4321 N Ozanam Ave Norridge, IL 60706","$499,900 ",4,4,"3,280"
"4158 W Congress Pkwy # 1 Chicago, IL 60624","$55,000 ",7,,
"3618 Rosemear Ave Brookfield, IL 60513","$399,000 ",3,2,"2,600"
"3922 Prairie Ave Brookfield, IL 60513","$319,000 ",4,2,"1,371"
"4146 Ellington Ave Western Springs, IL 60558","$488,000 ",3,2,"1,992"
"341 Amherst Ave Des Plaines, IL 60016","$315,000 ",4,2,"2,075"
"10648 S Green St Chicago, IL 60643","$134,900 ",3,2,2
"4328 N Ridgeway Ave Chicago, IL 60618","$592,000 ",4,3.5,"1,873"
"5588 N Lincoln Ave Apt 510 Chicago, IL 60625","$439,900 ",2,2,"1,640"
"4103 N Kostner Ave Chicago, IL 60641","$849,999 ",5,5,"4,400"
"1052 Fulton Dr Streamwood, IL 60107","$189,900 ",3,1,"1,093"
"8717 S Marquette Ave Chicago, IL 60617","$24,900 ",4,2,"1,008"
"2176 Brentwood Rd Northbrook, IL 60062","$555,000 ",4,3,"2,200"
"1212 Briarwood Ln Northbrook, IL 60062","$1,349,000 ",5,5,"4,600"
"1029 South Blvd Evanston, IL 60202","$719,000 ",4,3,"2,300"
"603 N Ridgeway Ave Chicago, IL 60624","$39,000 ",3,1,"1,789"
"2704 N Lakeview Ave Chicago, IL 60614","$5,250,000 ",6,5.5,"10,018"
"526 Cordial Dr Des Plaines, IL 60018","$349,900 ",3,2,"2,021"
"5044 W Argyle St Chicago, IL 60630","$389,900 ",4,2.5,"2,300"
"21316 Megan Ct Matteson, IL 60443","$250,000 ",4,3.5,"2,600"
"11936 Cannon Rd Orland Park, IL 60467","$748,000 ",4,4,"4,031"
"7935 Central Ave Burbank, IL 60459","$299,950 ",5,2.5,"2,400"
"2122 Evans Rd Flossmoor, IL 60422","$225,000 ",3,1.5,"1,847"
"1758 Hawthorne Ter Des Plaines, IL 60016","$315,000 ",2,2.5,"1,852"
"1905 Poplar Ave Hanover Park, IL 60133","$229,000 ",3,2,"1,027"
"738 Forest Ave Oak Park, IL 60302","$535,000 ",4,2.5,"2,069"
"2040 N Spaulding Ave Apt 2N Chicago, IL 60647","$249,900 ",2,1,1
"7958 W Belmont Ave Chicago, IL 60634","$775,000 ",,,
"706 N Main St Mount Prospect, IL 60056","$259,900 ",3,1,"1,120"
"14809 S Harrison Ave Posen, IL 60469","$189,900 ",3,2,2
"4032 Gunderson Ave Stickney, IL 60402","$289,900 ",3,2,"2,550"
"1252 W Illinois Ave Palatine, IL 60067","$515,000 ",4,3,"3,139"
"5485 Adeline Pl Oak Forest, IL 60452","$234,000 ",3,2,"1,602"
"309 S Northwest Hwy Unit 3 Park Ridge, IL 60068","$599,900 ",4,3.5,"2,527"
"4441 Trailside Ct Hoffman Estates, IL 60192","$252,000 ",3,1.5,"1,224"
"1656 N Natoma Ave Chicago, IL 60707","$415,000 ",3,1.5,"1,916"
"641 W Sunset Dr Glenwood, IL 60425","$189,900 ",5,3,"8,125"
"401 N Wabash Ave Unit 59B Chicago, IL 60611","$670,000 ",1,1.5,923
"3412 N Tripp Ave Chicago, IL 60641","$525,000 ",4,2.5,"3,000"
"9822 S Utica Ave Evergreen Park, IL 60805","$249,000 ",3,2,"1,706"
"2353 W Belden Ave Apt 2S Chicago, IL 60647","$550,000 ",3,2,2
"1807 W Ohio St Chicago, IL 60622","$1,040,000 ",4,3.5,3.5
"1515 N Wood St Chicago, IL 60622","$735,000 ",3,3,"2,519"
"8851 N Ozanam Ave Niles, IL 60714","$275,000 ",3,2,"1,300"
"11447 Foxwoods Dr Oak Lawn, IL 60453","$215,000 ",2,2.5,"2,042"
"2323 W Pershing Rd Apt 417 Chicago, IL 60609","$172,000 ",1,1,885
"1140 Noyes St Evanston, IL 60201","$665,000 ",5,3,"2,475"
"1736 McLean Ct Glenview, IL 60025","$475,000 ",4,2,2
"1158 Foxglove Ln # 5C Palatine, IL 60074","$180,000 ",2,1.5,1.5
"2153 W Bowler St Chicago, IL 60612","$379,000 ",4,2,"1,970"
"33 S Brainard Ave La Grange, IL 60525","$699,000 ",5,2.5,"2,785"
"3150 N Lake Shore Dr Apt 7F Chicago, IL 60657","$720,000 ",3,2.5,"2,200"
"1524 Willow Rd Schaumburg, IL 60173","$299,900 ",4,3,"1,600"
"6164 N Winthrop Ave Apt 3N Chicago, IL 60660","$310,000 ",2,2,2
"8 Tyler Ct Unit A Streamwood, IL 60107","$159,500 ",2,1.5,"1,211"
"3818 S Wolcott Ave Chicago, IL 60609","$289,000 ",5,,
"9345 S Avalon Ave Chicago, IL 60619","$24,900 ",2,1,964
"190 N Milwaukee Ave Apt 403 Wheeling, IL 60090","$275,000 ",3,3,"1,853"
"2328 N Leavitt St Chicago, IL 60647","$1,499,000 ",4,4,4
"10122 S Saint Lawrence Ave Chicago, IL 60628","$165,000 ",4,,
"2517 207th St Olympia Fields, IL 60461","$139,900 ",3,2,"1,758"
"1510 S 49th Ave Cicero, IL 60804","$220,000 ",5,,
"212 S Brainard Ave La Grange, IL 60525","$677,000 ",4,2.5,2.5
